Principales Canales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Datos erroneos no confiables de Sale-U,,,,-,Sin datos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventas X Mes , 12 , 7 , 8 , 13 , 6 , 21 , 17 , 17 , 23 , 22 , 32 , 26 , 20 , 30 , 30 , 34 , 40 , 36 , 27 , 38 , 40 , 42 , 34 , 38 , 30 , 41 , 41 , 35 , 37 , 33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso ,"Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 24","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo, 26","Junio, 26","Julio,26",,Historica,Año actual ,Ultimos 3 meses ,,,,,,,,,,,,,,,,,,,,,,,,,
Leads ,329,19,76,87,55,92,77,57,43,50,64,71,64,80,43,65,59,63,71,58,72,81,76,97,94,105,79,115,85,36,,12.51%,8.90%,10.72%,,,,,,,,,,,,,,,,,,,,,,,,,
Efectivos ,,,,,,,,,,,,71,64,80,43,65,59,63,71,58,72,81,76,97,94,105,79,115,84,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDC ,-,-,-,-,-,51,32,28,38,32,42,34,23,28,13,16,13,12,22,21,24,21,27,27,18,24,18,24,22,7,,Aporte,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDM ,22,13,35,40,28,35,31,28,14,25,32,28,33,32,28,34,31,29,44,31,48,43,22,46,28,41,36,45,42,16,,Historica,Año actual ,Ultimos 3 meses ,,,,,,,,,,,,,,,,,,,,,,,,,
Citas Programadas ,9,28,15,38,78,75,65,37,31,18,42,71,64,80,34,65,59,63,71,58,72,81,76,97,94,105,12,73,28,11,,28.44%,22.67%,24.05%,,,,,,,,,,,,,,,,,,,,,,,,,
Citas Efectivas ,4,16,6,16,60,57,46,19,25,14,36,71,64,80,34,65,59,63,71,58,72,81,76,97,94,105,10,59,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventas ,9,4,10,1,3,10,9,6,3,11,8,10,11,9,13,12,10,7,7,7,11,9,9,6,7,8,9,9,11,2,,Cota (Ventas) Ultimos 6ms,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conversion ,2.74%,21.05%,13.16%,1.15%,5.45%,10.87%,11.69%,10.53%,6.98%,22.00%,12.50%,14.08%,17.19%,11.25%,30.23%,18.46%,16.95%,11.11%,9.86%,12.07%,15.28%,11.11%,11.84%,6.19%,7.45%,7.62%,11.39%,7.83%,12.94%,5.56%,,Minima ,Optima ,Maxima ,,,,,,,,,,,,,,,,,,,,,,,,,
Aporte ,75.00%,57.14%,125.00%,7.69%,50.00%,47.62%,52.94%,35.29%,13.04%,50.00%,25.00%,38.46%,55.00%,30.00%,43.33%,35.29%,25.00%,19.44%,25.93%,18.42%,27.50%,21.43%,26.47%,15.79%,23.33%,19.51%,21.95%,25.71%,29.73%,6.06%,,7,9,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Promedio  conversion Historico ,12.70%,Promedio Aporte Historico,29.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
